contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
flinkbot,bot,-0.48314419442594003,0.7665648779256227,,,,296,20T,72.0,452
fluttergithubbot,bot,0.03501804603496239,0.9378441310884178,,,,300,30T,48.0,433
forking-renovate[bot],bot,-0.13421468771266754,0.764389396616354,140.0,319.0,194.0,300,30T,48.0,417
fossabot,bot,-0.012828140620753103,1.2811188882336695,-39.0,52.0,64.0,297,1H,24.0,389
garybot2,bot,0.10380482491777909,1.0312425557894145,-42.0,-25.0,,300,4H,6.0,418
gatsby-cloud[bot],bot,-0.4854190604320874,1.0503612003681704,,,,300,20T,72.0,420
getsentry-bot,bot,-1.4240264912435352,2.764371701265033,87.0,116.0,283.0,299,1H,24.0,364
gitguardian[bot],bot,-1.6965568025142042,1.525898699608839,24.0,116.0,177.0,300,10T,144.0,362
gitpod-io[bot],bot,-0.9923925249147163,0.4241456066731727,99.0,1063.0,1832.0,300,30T,48.0,565
google-ml-butler[bot],bot,0.1437883702725724,1.2534320072955414,-24.0,-36.0,,300,1H,24.0,359
google-oss-bot,bot,0.5949252139806751,1.5328062929994701,41.0,71.0,106.0,300,20T,72.0,362
graalvmbot,bot,-0.16056258186507089,0.9364416763607014,9.0,,,299,20T,72.0,372
graviteeio,bot,-429.49017590143467,21.602294447266086,282.0,660.0,1304.0,294,30T,48.0,523
guardrails[bot],bot,-0.10176136408912084,0.6786175699967042,-64.0,,,296,30T,48.0,403
hashicorp-cla,bot,-0.04291413154315804,0.5528646948018475,,,,300,1H,24.0,730
hasura-bot,bot,0.04354950986616113,0.9438215906769941,-41.0,21.0,74.0,297,1H,24.0,509
hft-team-city,bot,-0.15478459985961157,2.0704777348046153,,,,269,1H,24.0,329
ibmdotcom-bot,bot,-8.484275214578878,5.968826108190471,53.0,320.0,388.0,297,1H,24.0,404
ionitron-bot[bot],bot,0.0836875485954931,1.0139281669671496,27.0,68.0,87.0,298,3H,8.0,460
istio-policy-bot,bot,0.5398176324823148,0.41434193880520037,2.0,106.0,221.0,291,1H,24.0,655
jbosstm-bot,bot,-0.0075075482012341155,1.615396350580198,,,,290,2H,12.0,471
jenkins-x-bot-test,bot,-0.059053720109918606,2.3038623899409063,,,,275,6H,4.0,361
jetstack-bot,bot,-0.15612678614660758,1.6684788402706516,142.0,177.0,186.0,295,30T,48.0,343
jitsi-jenkins,bot,-1.7723555062908596,2.865425657367424,58.0,234.0,351.0,299,30T,48.0,341
johnpbloch-bot,bot,-1.3449992481620754,1.7169338529202929,84.0,246.0,504.0,300,2H,12.0,503
jujubot,bot,-0.8834367560873344,2.2759513242986693,27.0,121.0,182.0,297,4H,6.0,473
knative-prow-robot,bot,-0.2720717525513847,1.5439313885539026,-4.0,67.0,235.0,300,3H,8.0,446
ks-ci-bot,bot,-0.014239668846270037,0.9737509638273569,,,,297,1H,24.0,594
kubevirt-commenter-bot,bot,-1.1393464773611615,0.5345583200187327,,,,300,1H,24.0,595
lgtm-com[bot],bot,-3.7174087072906,9.779251921320732,-5.0,-17.0,44.0,296,4T,,406
lingohub[bot],bot,-0.03748182575797987,0.589087237061736,,,,296,2H,12.0,505
linux-foundation-easycla[bot],bot,-0.1895250394676764,0.7474257412555645,107.0,78.0,39.0,298,30T,48.0,362
livingdocs-automation,bot,-0.03317424127344282,1.3085646682971293,-9.0,11.0,,297,1H,24.0,305
mender-test-bot,bot,-1.212030955468868,2.10247778703457,82.0,236.0,274.0,296,1H,24.0,499
metal3-io-bot,bot,-0.49819436792501115,1.5472831183478675,27.0,294.0,345.0,298,30T,48.0,529
metamaskbot,bot,-0.059222230670452625,1.1893759877745544,-92.0,,,297,30T,48.0,453
minikube-bot,bot,0.004178380416834826,1.0571585952090483,-41.0,,,300,2H,12.0,455
minikube-pr-bot,bot,0.0670485336983958,1.0307291731304358,26.0,29.0,71.0,300,3H,8.0,478
minio-trusted,bot,-0.7614235261792255,0.703788534510291,,,,300,1H,24.0,499
miss-islington,bot,-0.3984164095786835,1.3508346322837277,,,,296,1H,24.0,313
mister-roboto,bot,-0.032314853149562284,0.8843016878357127,-159.0,,,300,1H,24.0,549
mm-cloud-bot,bot,-4.1184294014504825,2.8386107057089434,228.0,264.0,349.0,300,30T,48.0,328
moz-wptsync-bot,bot,-0.38483592824642465,0.8636659499189997,,,,299,1H,24.0,531
mumukibot,bot,-39.51875763754224,8.89276946672605,,,,298,12T,120.0,357
nacho-bot,bot,-0.19784619448952534,1.1406712793213736,107.0,162.0,283.0,298,1H,24.0,441
neos-bot,bot,-0.0982877119701564,2.5201159667856445,,,,184,3H,8.0,421
netkan-bot,bot,-10209.025780561085,235.1817130161689,107.0,374.0,469.0,271,1H,24.0,504
nextcloud-bot,bot,-5.418434290954281,13.956607343785386,9.0,83.0,125.0,296,20T,72.0,358
ninjadotorg-bot,bot,-0.27009325279246377,0.030156631386503235,-2.0,-5.0,,300,1H,24.0,555
niveristand-diff-bot,bot,-9.414528640007639,6.40274705659833,174.0,546.0,608.0,277,30T,48.0,439
nodebb-misty,bot,-0.00987739113711772,1.2816472562933445,39.0,49.0,51.0,293,4H,6.0,465
nodejs-github-bot,bot,-0.24690952470333816,1.0241376250152814,-59.0,,,300,20T,72.0,408
nur-bot,bot,0.0781449438583367,0.7228300391670996,1.0,-78.0,,298,30T,48.0,497
octokit-fixture-user-a,bot,-180.77502289588705,17.03770313676989,366.0,808.0,1257.0,300,30T,48.0,575
octokitbot,bot,-0.21340356238779368,1.1277620181643742,,,,237,1H,24.0,625
oll-bot,bot,-0.33166892342005627,1.208923115619727,168.0,291.0,556.0,300,1H,24.0,523
openhab-bot,bot,0.1902162462517959,0.7954671400899115,8.0,52.0,109.0,300,20T,72.0,382
openshift-cherrypick-robot,bot,-0.7652094997211556,2.314895927762597,252.0,237.0,312.0,296,4T,,447
openssl-machine,bot,0.03152339513377256,0.6820278917496169,-27.0,-13.0,73.0,300,1H,24.0,548
pantheon-ci-bot,bot,-0.012631038083235291,0.5707143079981849,,,,299,1H,24.0,844
pdfjsbot,bot,0.05105674210991695,0.7899251360952136,-109.0,-46.0,124.0,300,1H,24.0,719
pirate-bot,bot,-0.12044755183629019,2.6232021289134013,-13.0,40.0,119.0,268,1H,24.0,490
pivotal-cla,bot,0.02608493077972418,1.0247409461155887,-22.0,-24.0,,300,4H,6.0,389
pytorchbot,bot,0.6610764180386526,0.5073145361421001,-83.0,,,300,1H,24.0,440
qmk-bot,bot,0.001812617487716106,0.6182197859278444,-21.0,-125.0,,300,1H,24.0,879
r-ryantm,bot,-44.63059451796302,4.3848226542147355,,,,298,4T,,419
release-drafter[bot],bot,-0.06063085569111237,0.8116732960518225,16.0,72.0,132.0,300,3H,8.0,480
renovate-approve-2[bot],bot,-0.4380190170888012,0.8859557962349427,90.0,331.0,479.0,300,3T,,428
repo-ranger[bot],bot,0.008156927146980242,0.7372929583014928,82.0,95.0,,300,30T,48.0,556
restyled-io[bot],bot,-1686.8515312337458,10.214269196348285,,,,299,1T,,762
review-notebook-app[bot],bot,-1.871358230446543,3.8481718827307363,23.0,106.0,163.0,300,20T,72.0,433
robot-clickhouse,bot,-0.051135685102454476,1.0497165616474584,-6.0,-7.0,-48.0,294,1H,24.0,475
rultor,bot,-2.578577380467645,2.6553861529169382,,,,298,20T,72.0,341
rust-timer,bot,-0.1376131920927326,1.5159338252395942,-149.0,,,300,20T,72.0,442
rustbot,bot,-0.07480620689136153,0.8787469858738145,14.0,-9.0,,300,30T,48.0,441
sagemaker-bot,bot,-0.035174710245575946,1.3971195506713865,-56.0,-97.0,,299,20T,72.0,386
salesforce-cla[bot],bot,-0.015005910820507173,1.2290890016160867,-62.0,,,300,4H,6.0,510
scrutinizer-notifier,bot,-0.13461704813644704,1.1552962096415418,56.0,185.0,385.0,300,1H,24.0,657
sentry-io[bot],bot,-0.6845954848565434,0.748409531711996,,,,299,1H,24.0,760
similar-code-searcher[bot],bot,-0.03976727380619027,0.6472394576973445,-205.0,,,298,2H,12.0,539
skia-flutter-autoroll,bot,-0.1532093157279757,1.5393821500178997,-7.0,12.0,52.0,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-0.3662636564025079,1.0611648201451263,,,,300,30T,48.0,335
soloio-bot,bot,-0.1041650025021379,1.42186646628855,,,,275,1H,24.0,574
sourcegraph-bot,bot,-0.41389732076743413,0.6620584775908005,158.0,176.0,432.0,299,3T,,500
spinnakerbot,bot,0.00579779888392129,1.4735156112187104,-170.0,,,292,2H,12.0,524
spring-builds,bot,-0.19223426101786867,1.2251722727032865,,,,300,4H,6.0,441
sprucelabs-ci,bot,-2.1215256356963024,4.351553813421911,6.0,6.0,176.0,300,8T,168.0,400
sre-bot,bot,-22.07425253536146,2.656020964078159,,,,294,1H,24.0,661
stakater-user,bot,-3.3526678405136536,0.8732587771186557,664.0,1224.0,1871.0,298,30T,48.0,385
status-im-auto,bot,-0.3350708273175884,0.7063079110437649,,,,299,30T,48.0,565
submariner-bot,bot,-1.5713531041169109,2.320742423454203,87.0,341.0,508.0,298,20T,72.0,393
swift-ci,bot,-0.004766481424491431,0.6354429036490487,-109.0,,,300,7T,,355
taichi-gardener,bot,0.022577700278461066,1.005704865264472,-118.0,-37.0,3.0,271,1H,24.0,799
thundernest-bot,bot,0.020191729053086416,0.9066716642387306,-84.0,,,299,4H,6.0,416
translatewiki,bot,-0.2315782988772328,1.804897481254236,,,,264,1H,24.0,408
tykbot[bot],bot,0.0649989594152196,1.2751401877041773,-66.0,,,300,3H,8.0,434
usercont-release-bot,bot,0.7349037151524206,0.5061272571074441,7.0,45.0,49.0,299,30T,48.0,526
va-bot,bot,0.4746922043003635,0.5533103292489733,14.0,-9.0,,300,3H,8.0,416
vc-ci,bot,-35.357730737341726,8.475836402451431,,,,299,20T,72.0,427
violinist-bot,bot,0.09004777007210463,1.3199303450105206,50.0,145.0,169.0,295,30T,48.0,344
vmwclabot,bot,-0.5054692428404712,1.1519905851666676,216.0,306.0,431.0,297,1H,24.0,553
vscode-issue-tracker-bot,bot,1.0,2.1177118443193977e-13,0.0,0.0,0.0,300,30T,48.0,600
vtex-io-ci-cd[bot],bot,0.055513755263649545,1.0876641797164144,-95.0,-56.0,32.0,297,1H,24.0,527
vtex-io-docs-bot[bot],bot,-0.24002272713751727,0.9091238647554308,179.0,206.0,421.0,300,2H,12.0,504
welcome[bot],bot,-0.33798906427509445,1.0919510726515935,,,,290,20T,72.0,389
wet-boew-bot,bot,0.026985119300380944,1.5518941164554079,-30.0,-11.0,14.0,300,4H,6.0,426
wso2-jenkins-bot,bot,-0.1698335820286685,1.2969899396672908,47.0,160.0,169.0,299,30T,48.0,376
ADmad,human,-0.04091385945009551,1.7917187519230242,53.0,152.0,146.0,300,3H,8.0,419
Bernardo-MG,human,-0.4309015450924447,1.0773731018830697,-18.0,,,300,1H,24.0,313
Gerrit0,human,0.00526858137038122,1.582105491497402,-60.0,,,296,4H,6.0,467
Kikobeats,human,-0.03970216196544807,0.955743849365547,-134.0,,,299,30T,48.0,577
Kukks,human,0.08381522888310233,0.5352244799068094,70.0,19.0,146.0,293,1H,24.0,843
LukeTowers,human,-6.229317024221946,11.948262726119466,23.0,35.0,299.0,294,3H,8.0,448
NathanWalker,human,0.028316710356056984,1.088923950089918,-71.0,-110.0,,294,2H,12.0,547
Rotzbua,human,-0.8443303452613049,0.9490825423322798,,,,299,1H,24.0,750
StevenMaude,human,0.03628129591830764,0.7482143954730435,-64.0,18.0,,296,1H,24.0,634
Stranger6667,human,-6.130995054893318,2.841367435800755,157.0,731.0,1342.0,300,1H,24.0,767
ababic,human,0.0738525799305696,0.8517226742561967,-51.0,-97.0,,300,1H,24.0,727
achingbrain,human,-1.5770758017450595,2.5446433493897267,,,,299,30T,48.0,389
adamhsparks,human,0.301911002254575,0.5676631832374979,-381.0,,,296,1H,24.0,718
alanhamlett,human,0.016573675144554323,1.5879039107450907,-62.0,-92.0,,298,2H,12.0,498
alexanderbez,human,0.07198375965662929,1.0120664625820015,-1.0,-59.0,,300,1H,24.0,476
althonos,human,-0.6941105727779986,0.9553957907744642,,,,299,2H,12.0,575
am-kantox,human,0.09568970580559633,1.1394251177413632,-45.0,-43.0,,297,4H,6.0,468
andreubotella,human,-0.019538900492992006,1.1350029128072852,-175.0,,,299,3H,8.0,473
anthrotype,human,-0.15915771780258825,0.8234351602685117,159.0,287.0,471.0,298,30T,48.0,398
antonmedv,human,-0.022835903648209976,0.5345707227684903,-146.0,,,300,1H,24.0,850
azat,human,-0.0438153706175739,0.7707060693935414,196.0,206.0,263.0,297,1H,24.0,555
bendrucker,human,0.031982755634491156,1.1987152296958863,-74.0,-71.0,125.0,290,2H,12.0,468
betatim,human,0.02852333359149184,0.44450549695994745,51.0,65.0,,298,1H,24.0,866
bluca,human,-1.3189398663595595,1.401831135738926,,,,298,30T,48.0,462
bradymholt,human,-1.0896902912727398,3.054704186713812,3.0,179.0,415.0,277,3H,8.0,439
cboettig,human,-0.30494729004334475,0.6326690247956602,258.0,455.0,778.0,299,1H,24.0,845
cchantep,human,0.0413779365923429,0.9930833119471079,,,,279,2H,12.0,481
cdepillabout,human,-0.35520012703453907,1.3759333070319673,,,,297,4H,6.0,410
chalin,human,-7.445476651769193,3.0317129040115067,525.0,611.0,1240.0,297,30T,48.0,335
codebytere,human,0.029990836837401336,1.7437606790348579,115.0,57.0,3.0,296,1H,24.0,670
daffl,human,-0.004911526380551701,0.6337141058264455,225.0,394.0,502.0,300,1H,24.0,728
dantleech,human,-0.01721457918585312,1.163739196806742,,,,295,1H,24.0,784
darrachequesne,human,-6.815940837405711,2.841248306687343,240.0,554.0,1424.0,299,1H,24.0,721
