contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
nikku,human,-0.1115030058423585,1.311271327371281,,,,300,1H,24.0,359
norkans7,human,-0.7056685159297169,2.851047608404285,11.0,158.0,379.0,299,2H,12.0,502
nytamin,human,0.032161169283721036,1.1884780455171338,-78.0,-212.0,,271,4H,6.0,431
p0nce,human,-0.7113601090122865,1.047218948126595,107.0,507.0,768.0,299,2H,12.0,506
parlough,human,-0.22151865905323032,0.9092996767124994,17.0,,,300,30T,48.0,463
paulfalgout,human,-0.0989820298235915,1.0790296017927263,207.0,307.0,463.0,293,1H,24.0,860
petemoore,human,-1.850470866345674,3.273395825698338,100.0,312.0,371.0,288,2H,12.0,458
petersilva,human,-1.3576049603697968,2.4054539897940233,24.0,166.0,263.0,299,4H,6.0,379
phax,human,-0.058607573922299316,1.19059582248433,,,,280,1H,24.0,895
philippfromme,human,-0.06660726889178537,1.8679036857879032,39.0,89.0,159.0,298,3H,8.0,438
raphaelm,human,-0.019476797352568465,0.6626051438822554,117.0,166.0,116.0,297,1H,24.0,642
rasheedamir,human,-18.004610971402528,10.675984278058444,88.0,154.0,197.0,282,4H,6.0,394
reckart,human,-0.08741476226430911,0.9101259064622549,,,,297,1H,24.0,453
rixx,human,-0.22854671463034504,1.3435341942718078,,,,290,3H,8.0,428
rminnich,human,-2.762402410361454,2.3085445128556126,128.0,329.0,484.0,299,3H,8.0,411
seratch,human,-0.024366538557380135,0.950917339526802,,,,296,1H,24.0,543
sfackler,human,0.05892099141497498,1.3978183270057598,-15.0,-57.0,,300,3H,8.0,454
shawnbot,human,0.07413594083007291,1.3158858253165249,38.0,37.0,92.0,300,4H,6.0,385
snakefoot,human,-0.03393239068920639,0.9943493296098618,189.0,177.0,432.0,297,1H,24.0,856
sonnyp,human,-5.747687881654017,3.7234778822799384,146.0,214.0,663.0,298,1H,24.0,855
sserrata,human,-247.3461426548584,22.592382553288644,77.0,304.0,612.0,288,1H,24.0,411
staltz,human,-0.007396315555125099,0.725625312181396,-42.0,-31.0,190.0,298,1H,24.0,579
stapelberg,human,-0.011619068143383426,0.6184708342315375,-1.0,243.0,346.0,300,1H,24.0,883
suzuki-shunsuke,human,-0.33393969824295144,2.05718321820508,2.0,81.0,128.0,299,20T,72.0,360
techknowlogick,human,-0.3522781350817197,0.5904903169162968,277.0,647.0,608.0,299,30T,48.0,545
tibetsprague,human,-1.5883108716561711,1.9543303638994625,94.0,281.0,758.0,299,2H,12.0,505
timja,human,-4.473441719484263,9.341320018380863,21.0,61.0,102.0,275,30T,48.0,342
tommoor,human,0.030289126755068008,1.7091905794175644,-151.0,,,299,1H,24.0,493
tschaub,human,0.010954305130033593,1.4034654814148277,-130.0,,,288,2H,12.0,476
twiecki,human,-0.03260397365585388,0.8606609422074077,-83.0,-134.0,,300,3H,8.0,434
tychoish,human,-0.08303379967994906,1.0161953516150215,,,,297,2H,12.0,503
ueokande,human,-0.056297756335638605,0.5016085214742337,239.0,223.0,412.0,294,1H,24.0,818
unknwon,human,-0.2665772757421905,0.9244848118741655,129.0,251.0,694.0,299,30T,48.0,529
vasturiano,human,-9626.698090082087,25.690338570091278,,,,300,8T,168.0,360
visualfc,human,-0.14720644077128497,0.5983715998737249,,,,300,1H,24.0,658
vmarkovtsev,human,-3.5602433637046147,2.2493145165482016,,,,300,30T,48.0,483
yajra,human,-38.90024324197052,14.506691477063171,75.0,169.0,593.0,290,2H,12.0,491
yowainwright,human,0.05396407532904479,1.1522040590376779,-24.0,42.0,107.0,297,1H,24.0,549
yuce,human,-17.437479921185513,6.611224196186621,7.0,108.0,330.0,298,1H,24.0,435
yurishkuro,human,-0.48289353439829563,0.8714310976460077,149.0,492.0,826.0,300,30T,48.0,596
